ID,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qc18,qc19,qc20,qc21,qc22,qc23,qc24,qc25,qc26,qc27,qc28,qc29,qc30,qc31,qc32,qc33,qc34,qc35,qc36,qc37,qc38,qc39,qc40,qc41,qc42,qc43,qc44,qc45,qc46,qc47,qc48,qc49,qc50,qcTIME
150009708,5,5,5,3,3,5,2,4,5,4,5,4,5,4,5,5,5,4,5,4,5,5,5,4,5,3,3,5,4,3,4,5,4,3,4,3,5,4,4,5,5,3,0,5,3,3,4,5,5,4,12/6/2013 4:53:43 PM
152008366,3,3,4,3,4,2,3,3,4,4,4,2,5,2,2,3,3,4,5,2,2,4,2,2,3,1,5,3,4,4,1,2,4,4,2,4,2,1,3,4,2,4,3,4,3,4,2,1,4,2,12/6/2013 4:55:45 PM
150005656,3,4,4,4,2,2,2,3,2,2,4,0,4,5,2,4,4,3,4,3,4,4,2,2,2,2,4,2,4,4,4,2,4,3,3,4,2,3,5,4,1,2,4,4,5,4,1,1,4,1,12/6/2013 4:58:03 PM
151002424,2,4,4,3,4,3,4,2,4,4,3,0,4,4,2,3,3,4,4,3,4,4,4,3,4,2,4,3,4,4,4,3,4,4,2,4,4,4,4,4,3,2,1,3,3,4,2,2,4,2,12/6/2013 5:04:31 PM
151005608,5,4,4,3,5,2,3,2,5,4,1,3,4,1,4,3,1,3,3,4,4,4,3,3,2,2,1,1,1,3,4,1,4,3,2,3,3,3,3,4,3,2,2,3,5,2,2,3,4,3,12/6/2013 5:04:58 PM
149004227,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/2013 5:09:38 PM
151004786,4,3,5,1,5,2,4,3,5,1,2,5,3,5,3,2,1,4,3,3,5,2,3,5,4,3,1,1,3,3,4,2,3,2,4,3,3,4,3,3,4,3,2,1,1,2,3,5,5,3,12/6/2013 5:09:56 PM
150004791,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/2013 5:21:25 PM
151006007,3,3,4,3,5,3,4,3,4,4,3,4,3,5,4,4,3,4,3,3,3,4,0,4,3,4,3,1,3,4,4,3,4,3,3,4,3,4,4,4,3,4,4,3,4,3,4,3,4,3,12/6/2013 5:22:23 PM
150002544,1,4,4,3,4,2,1,2,4,4,3,2,4,1,3,4,4,2,4,3,2,4,3,2,3,2,4,5,3,4,4,3,5,3,2,4,2,3,4,5,2,3,4,5,4,5,1,1,4,1,12/6/2013 5:28:54 PM
