school_name,school_county,school_type,state_district_id,total_students,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_male,total_female,total_american_indian_alaskan,total_asians,total_black,total_hispanic,total_white,free_lunch_eligible,student_teacher_ratio,fte_teachers,school_level,low_grade,high_grade
SADDLE BROOK MID  HIGH SCHOOL,BERGEN,1-Regular school,3414490,786,151,115,135,112,398,388,1,77,32,125,549,85,15.44,50.9,3-High,7th Grade,12th Grade
SALEM COUNTY CAREER&TECH H S,SALEM,3-Vocational school,3414580,692,191,191,140,170,329,363,4,8,76,28,574,91,17.74,39,4-Other,4th Grade,12th Grade
SALEM HIGH SCHOOL,SALEM,1-Regular school,3414550,440,113,76,127,111,211,229,1,1,277,14,145,236,9.46,46.5,3-High,9th Grade,12th Grade
SCIENCE HIGH SCHOOL,ESSEX,1-Regular school,3411340,827,173,181,172,189,379,448,4,28,307,310,177,493,15.04,55,3-High,7th Grade,12th Grade
SCOTCH PLAINS FANWOOD HIGH SCHOOL,UNION,1-Regular school,3414670,1478,378,365,375,360,729,749,0,73,202,98,1096,53,16.05,92.1,3-High,9th Grade,12th Grade
SECAUCUS HIGH SCHOOL,HUDSON,1-Regular school,3414850,613,161,158,130,156,307,306,0,122,21,159,304,115,13.62,45,3-High,9th Grade,12th Grade
SENECA HIGH SCHOOL,BURLINGTON,1-Regular school,3408490,1363,335,302,302,347,671,692,3,13,21,27,1297,70,14.11,96.6,3-High,9th Grade,12th Grade
SHAWNEE HIGH SCHOOL,BURLINGTON,1-Regular school,3408490,1608,406,385,376,402,798,810,2,34,25,24,1523,45,16.05,100.2,3-High,9th Grade,12th Grade
SHORE REGIONAL HIGH SCHOOL,MONMOUTH,1-Regular school,3414940,677,167,180,168,162,332,345,0,2,4,34,631,18,13.82,49,3-High,9th Grade,12th Grade
SOMERSET COUNTY VOCATIONAL TECH HIGH SCHOOL,SOMERSET,3-Vocational school,3415060,325,78,73,72,63,164,161,1,37,41,77,165,62,6.8,47.8,3-High,9th Grade,12th Grade
SOMERSET ELEM ACADEMY,SOMERSET,2-Special education school,3480280,18,1,0,0,2,15,3,0,0,13,2,3,4,2.25,8,4-Other,1st Grade,12th Grade
SOMERSET SECONDARY ACADEMY,SOMERSET,2-Special education school,3480280,125,9,21,29,27,88,37,0,0,75,20,29,38,5.68,22,4-Other,5th Grade,12th Grade
SOMERVILLE HIGH SCHOOL,SOMERSET,1-Regular school,3415090,1251,337,310,290,314,646,605,0,101,110,176,857,127,16.5,75.8,3-High,9th Grade,12th Grade
SOUTH AMBOY HIGH SCHOOL,MIDDLESEX,1-Regular school,3415120,508,69,70,75,59,258,250,0,21,26,94,364,140,13.73,37,3-High,7th Grade,12th Grade
SOUTH BRUNSWICK HIGH SCHOOL,MIDDLESEX,1-Regular school,3415210,2139,42,675,734,673,1094,1045,0,722,210,138,1056,119,12.57,170.2,3-High,9th Grade,12th Grade
