school_name,school_county,school_type,state_district_id,total_students,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_male,total_female,total_american_indian_alaskan,total_asians,total_black,total_hispanic,total_white,free_lunch_eligible,student_teacher_ratio,fte_teachers,school_level,low_grade,high_grade
ALLENTOWN HIGH SCHOOL,MONMOUTH,1-Regular school,3416560,1145,286,315,264,263,570,575,1,31,54,45,1012,33,17.72,64.6,3-High,9th Grade,12th Grade
ALTERNATIVE HIGH SCHOOL - YES ACADEMY,PASSAIC,1-Regular school,3412690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3-High,9th Grade,12th Grade
AMERICAN HISTORY HIGH SCHOOL,ESSEX,1-Regular school,3411340,261,76,71,61,53,99,162,0,3,177,72,9,205,14.5,18,3-High,9th Grade,12th Grade
ANCORA PSYCHIATRIC HOSPITAL,CAMDEN,4-Alternative/other school,3400085,2,0,0,0,2,1,1,0,0,1,0,1,0,1,2,3-High,12th Grade,12th Grade
ANNE KLIEN FORENSIC CENTER,MERCER,4-Alternative/other school,3400085,2,0,0,1,1,2,0,0,0,1,1,0,0,1,2,3-High,11th Grade,12th Grade
ARTHUR L  JOHNSON H S,UNION,1-Regular school,3403150,853,193,207,200,213,461,392,0,16,3,75,759,42,13.16,64.8,3-High,9th Grade,12th Grade
ARTHUR P SCHALICK H S,SALEM,1-Regular school,3413110,562,133,157,144,112,292,270,0,3,42,43,455,115,14.12,39.8,3-High,9th Grade,12th Grade
ARTS,ESSEX,1-Regular school,3411340,540,141,156,136,107,222,318,1,1,278,218,42,345,11.87,45.5,4-Other,6th Grade,12th Grade
ASBURY PARK HIGH SCHOOL,MONMOUTH,1-Regular school,3400930,439,80,125,82,100,225,214,0,2,347,80,10,305,8,54.9,3-High,9th Grade,12th Grade
ATLANTIC CITY HIGH SCHOOL,ATLANTIC,1-Regular school,3400960,2327,693,522,536,487,1211,1116,1,303,841,722,431,1243,14.59,159.5,3-High,9th Grade,12th Grade
ATLANTIC CITY TRANSITION DAY PROG,ATLANTIC,4-Alternative/other school,3400089,5,1,2,1,1,5,0,0,0,5,0,0,0,5,1,3-High,9th Grade,12th Grade
ATLANTIC COUNTY   JUV   DET   CENTER,ATLANTIC,4-Alternative/other school,3400089,23,4,6,7,6,23,0,0,0,18,3,2,0,7.67,3,3-High,9th Grade,12th Grade
ATLANTIC COUNTY ELEM  MIDDLE,ATLANTIC,2-Special education school,3400006,184,0,1,0,0,119,65,0,15,39,42,86,74,6.13,30,4-Other,Prekindergarten,12th Grade
ATLANTIC COUNTY HIGH SCHOOL,ATLANTIC,2-Special education school,3400006,176,4,3,5,25,103,73,1,10,35,30,99,46,5.03,35,4-Other,3rd Grade,12th Grade
ATLANTIC CTY INST OF TECH,ATLANTIC,3-Vocational school,3400990,748,179,169,203,197,390,358,4,36,153,196,340,259,11.33,66,3-High,9th Grade,12th Grade
ATLANTIC TRANSITIONAL EDUCATION CENTER,ATLANTIC,4-Alternative/other school,3400085,45,6,12,19,8,6,39,0,0,26,13,6,0,0,0,3-High,9th Grade,12th Grade
AUDUBON HIGH SCHOOL,CAMDEN,1-Regular school,3401050,780,137,141,136,156,385,395,3,9,10,24,732,71,12.48,62.5,3-High,7th Grade,12th Grade
B E S T ACADEMY,–,4-Alternative/other school,3400069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-High,10th Grade,12th Grade
BANKBRIDGE REGIONAL SCHOOL,GLOUCESTER,2-Special education school,3480363,600,12,11,13,26,458,142,1,6,137,59,387,103,6.38,94,4-Other,Prekindergarten,12th Grade
BARNEGAT HIGH SCHOOL,OCEAN,1-Regular school,3416470,954,231,256,229,217,478,476,1,24,63,83,781,134,13.73,69.5,3-High,9th Grade,12th Grade
BARRINGER,ESSEX,1-Regular school,3411340,1476,309,276,287,295,831,645,1,4,534,923,14,976,15.54,95,3-High,9th Grade,12th Grade
BARTELS CORNER,HUNTERDON,3-Vocational school,3400050,1,0,0,0,1,1,0,0,0,0,0,1,0,0.13,8,3-High,12th Grade,12th Grade
BAYONNE HIGH SCHOOL,HUDSON,1-Regular school,3401260,2586,669,625,560,576,1340,1246,0,172,267,934,1201,1210,15.21,170,3-High,9th Grade,12th Grade
BELLEVILLE SR  HIGH SCHOOL,ESSEX,1-Regular school,3401350,1395,369,391,348,278,580,537,2,157,101,611,241,388,12.57,111,3-High,9th Grade,12th Grade
BELVIDERE HIGH SCHOOL,WARREN,1-Regular school,3401440,552,106,155,131,153,266,286,2,2,5,12,530,48,14.45,38.2,3-High,9th Grade,12th Grade
BERGEN ACADS HACKENSACK,BERGEN,3-Vocational school,3401470,1068,272,260,271,265,503,565,0,452,27,58,523,26,11.51,92.8,3-High,9th Grade,12th Grade
BERGEN COUNTY  JUV  DET  CENTER,BERGEN,4-Alternative/other school,3400089,7,1,3,1,1,7,0,0,0,4,1,2,0,7,1,3-High,7th Grade,12th Grade
BERGEN REGIONAL SCHOOL,BERGEN,4-Alternative/other school,3400085,49,3,5,5,5,26,23,0,2,21,4,22,0,5.44,9,4-Other,2nd Grade,12th Grade
BERGENFIELD HIGH SCHOOL,BERGEN,1-Regular school,3401500,1190,294,299,307,269,622,568,0,339,95,476,267,233,14.13,84.2,3-High,9th Grade,12th Grade
BERNARDS HIGH SCHOOL,SOMERSET,1-Regular school,3400009,795,181,207,197,210,392,403,0,45,17,87,646,38,14.4,55.2,3-High,9th Grade,12th Grade
BIOTECHNOLOGY H  S,MONMOUTH,3-Vocational school,3417500,309,80,83,74,72,145,164,0,70,4,5,230,4,12.88,24,3-High,9th Grade,12th Grade
BLOOMFIELD HIGH SCHOOL,ESSEX,1-Regular school,3401830,1824,493,486,433,396,940,884,6,183,541,583,505,510,13.57,134.4,3-High,9th Grade,12th Grade
BOAACD,UNION,1-Regular school,3413140,53,8,8,19,18,28,25,0,0,41,12,0,32,8.83,6,3-High,9th Grade,12th Grade
BOGOTA JR   SR  HIGH SCHOOL,BERGEN,1-Regular school,3401920,571,97,89,89,100,291,280,0,38,59,329,143,157,14.42,39.6,3-High,7th Grade,12th Grade
BOONTON HIGH SCHOOL,MORRIS,1-Regular school,3401950,587,143,160,140,130,305,282,1,79,32,83,385,83,15.21,38.6,3-High,9th Grade,12th Grade
BORDENTOWN REGIONAL H S,BURLINGTON,1-Regular school,3402030,709,171,164,167,207,360,349,1,65,118,58,466,101,13.53,52.4,3-High,9th Grade,12th Grade
BOUND BROOK HIGH SCHOOL,SOMERSET,1-Regular school,3402100,486,123,129,95,128,288,198,0,15,48,279,141,209,15,32.4,3-High,9th Grade,12th Grade
BRDGWTR  RARITN HIGH SCHOOL,SOMERSET,1-Regular school,3402280,2914,771,689,718,711,1469,1445,3,519,105,260,2023,137,12.96,224.9,3-High,9th Grade,12th Grade
BRICK CENTER,OCEAN,3-Vocational school,3411980,338,0,14,151,173,158,180,0,3,18,31,285,56,11.42,29.6,3-High,10th Grade,12th Grade
BRICK TWP HIGH SCHOOL,OCEAN,1-Regular school,3402220,1415,365,415,311,268,704,711,1,41,30,153,1187,163,13.31,106.3,3-High,9th Grade,12th Grade
BRICK TWP MEMORIAL HIGH SCHOOL,OCEAN,1-Regular school,3402220,1778,442,464,441,406,933,845,3,31,94,91,1555,207,15.07,118,3-High,9th Grade,12th Grade
BRIDGETON HIGH SCHOOL,CUMBERLAND,1-Regular school,3402250,1135,355,265,245,220,565,570,4,3,445,554,122,846,10.41,109,3-High,9th Grade,12th Grade
BRIMM MEDICAL ARTS HIGH SCHOOL,CAMDEN,1-Regular school,3402640,240,59,63,52,66,85,155,0,4,164,72,0,137,10,24,3-High,9th Grade,12th Grade
BUENA REGIONAL HIGH SCHOOL,ATLANTIC,1-Regular school,3402400,882,186,220,181,182,372,397,0,4,114,121,526,121,14.9,59.2,3-High,9th Grade,12th Grade
BURLINGTON CITY HIGH SCHOOL,BURLINGTON,1-Regular school,3402430,789,147,106,126,168,400,389,0,31,418,66,269,332,12.01,65.7,3-High,7th Grade,12th Grade
BURLINGTON COUNTY   JUVEN   DET   CENTER,BURLINGTON,4-Alternative/other school,3400089,11,3,5,2,1,5,6,0,0,9,0,2,0,3.67,3,3-High,9th Grade,12th Grade
BURLINGTON COUNTY SPEC SCHOOL  WC,BURLINGTON,2-Special education school,3402440,415,5,10,16,18,305,110,0,7,136,45,227,67,5.61,74,4-Other,Prekindergarten,12th Grade
BURLINGTON REGIONAL SCHOOL,BURLINGTON,4-Alternative/other school,3400085,8,3,1,1,1,8,0,0,0,6,0,2,0,1.6,5,3-High,7th Grade,12th Grade
BURLINGTON TWP HIGH SCHOOL,BURLINGTON,1-Regular school,3402460,1220,277,328,303,296,596,624,3,109,414,101,590,141,16.29,74.9,3-High,9th Grade,12th Grade
BUTLER HIGH SCHOOL,MORRIS,1-Regular school,3402520,516,98,156,113,141,276,240,0,19,7,47,443,41,12.65,40.8,3-High,9th Grade,12th Grade
CAMDEN ACADEMY CHARTER HIGH SCHOOL,CAMDEN,1-Regular school,3400071,425,118,103,107,97,180,245,0,0,145,280,0,304,12.5,34,3-High,9th Grade,12th Grade
CAMDEN CAP,CAMDEN,4-Alternative/other school,3400089,8,0,2,3,3,8,0,0,0,8,0,0,0,4,2,3-High,10th Grade,12th Grade
CAMDEN COUNTY  YOUTH CENTER,CAMDEN,4-Alternative/other school,3400089,40,11,10,14,2,38,2,0,0,30,4,6,0,5,8,3-High,8th Grade,12th Grade
CAMDEN COUNTY TECH  GLOUCESTER,CAMDEN,3-Vocational school,3402670,1335,417,380,270,268,731,604,2,15,514,379,412,731,12.1,110.3,3-High,9th Grade,12th Grade
CAMDEN COUNTY TECH  PENNSAUKEN,CAMDEN,3-Vocational school,3402670,789,225,198,196,170,402,387,1,36,236,489,16,589,13.58,58.1,3-High,9th Grade,12th Grade
CAMDEN HIGH SCHOOL,CAMDEN,1-Regular school,3402640,889,169,140,143,166,484,405,0,1,681,206,1,532,10.84,82,3-High,9th Grade,12th Grade
CAMDEN HOUSE,CAMDEN,4-Alternative/other school,3400089,13,2,6,2,3,13,0,0,0,7,5,1,0,2.6,5,3-High,9th Grade,12th Grade
CAMDEN PREP,CAMDEN,4-Alternative/other school,3400089,14,6,4,3,1,14,0,0,0,5,6,3,0,3.5,4,3-High,9th Grade,12th Grade
CAMDEN VIRTUA - INSIGHT,CAMDEN,4-Alternative/other school,3400085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3-High,7th Grade,12th Grade
CAMDEN VIRTUA KIDS IN TRANSISTION,CAMDEN,4-Alternative/other school,3400085,29,2,6,6,2,14,15,0,0,13,5,11,0,7.25,4,4-Other,6th Grade,12th Grade
CAMPUS PROGRAM,CAMDEN,4-Alternative/other school,3400089,24,8,6,9,1,24,0,0,0,13,8,3,0,6,4,3-High,9th Grade,12th Grade
CAPE MAY COUNTY TECH H S,CAPE MAY,3-Vocational school,3402730,657,168,158,153,142,362,295,0,12,32,31,582,96,10.68,61.5,3-High,9th Grade,12th Grade
CAPE MAY COUNTY HIGH SCHOOL,CAPE MAY,2-Special education school,3402740,171,14,25,23,47,113,58,0,0,27,21,122,29,7.13,24,4-Other,4th Grade,12th Grade
CAPE MAY REGIONAL SCHOOL,CAPE MAY,4-Alternative/other school,3400085,9,3,1,1,1,2,7,0,0,2,1,6,0,1.13,8,4-Other,5th Grade,12th Grade
CAPE MAY TRANSITIONAL EDUCATION CENTER,CAPE MAY,4-Alternative/other school,3400085,12,1,3,4,4,1,11,0,0,1,2,9,0,0,0,3-High,9th Grade,12th Grade
CAPITAL ACADEMY,MERCER,4-Alternative/other school,3400085,42,10,9,14,9,42,0,0,0,31,6,5,0,10.5,4,3-High,9th Grade,12th Grade
CAPITAL PREPARTORY CHARTER HIGH SCHOOL,MERCER,1-Regular school,3400722,304,89,99,72,44,149,155,1,1,236,60,1,187,16,19,3-High,9th Grade,12th Grade
CARTERET HIGH SCHOOL,MIDDLESEX,1-Regular school,3402820,1039,268,303,233,224,545,494,0,222,183,412,218,436,15.28,68,3-High,9th Grade,12th Grade
CEDAR GROVE HIGH SCHOOL,ESSEX,1-Regular school,3402850,450,126,98,124,102,225,225,0,30,7,21,391,7,14.66,30.7,3-High,9th Grade,12th Grade
CENTER FOR LIFE LONG LEARNING,MIDDLESEX,2-Special education school,3480180,140,2,1,3,3,106,34,0,16,34,32,58,17,5.51,25.4,4-Other,Prekindergarten,12th Grade
CENTRAL,ESSEX,1-Regular school,3411340,764,153,189,156,163,363,401,0,2,698,64,0,619,13.17,58,3-High,9th Grade,12th Grade
CENTRAL,HUNTERDON,3-Vocational school,3400050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3-High,9th Grade,12th Grade
CENTRAL HIGH SCHOOL,MERCER,1-Regular school,3407530,1203,307,305,304,287,626,577,1,85,20,38,1054,28,15.38,78.2,3-High,9th Grade,12th Grade
CENTRAL JERSEY COLLEGE PREP CS,MIDDLESEX,1-Regular school,3400090,285,48,40,49,52,140,145,0,9,209,54,13,105,12.13,23.5,3-High,7th Grade,12th Grade
CENTRAL REGIONAL HIGH SCHOOL,OCEAN,1-Regular school,3402910,1306,344,317,336,280,690,616,0,25,54,100,1108,281,14.01,93.2,3-High,9th Grade,12th Grade
CHARTER~TECH HIGH SCHOOL,ATLANTIC,1-Regular school,3400019,281,74,73,65,69,129,152,0,6,100,33,139,94,11.47,24.5,3-High,9th Grade,12th Grade
CHATHAM HIGH SCHOOL,MORRIS,1-Regular school,3400004,1109,286,285,293,245,539,570,0,65,7,39,998,12,15.73,70.5,3-High,9th Grade,12th Grade
CHEROKEE HIGH SCHOOL,BURLINGTON,1-Regular school,3408490,2388,604,505,590,531,1223,1165,2,136,143,65,2038,120,14.98,159.4,3-High,9th Grade,12th Grade
CHERRY HILL HIGH    EAST,CAMDEN,1-Regular school,3403000,2071,510,530,484,547,1052,1019,0,380,139,85,1451,118,16.05,129,3-High,9th Grade,12th Grade
CHERRY HILL HIGH    WEST,CAMDEN,1-Regular school,3403000,1526,389,410,369,358,776,750,0,180,164,151,1003,230,16.13,94.6,3-High,9th Grade,12th Grade
CHERRY HILL REGIONAL SCHOOL,CAMDEN,4-Alternative/other school,3400085,42,5,7,5,5,26,16,0,0,23,6,13,0,2.33,18,4-Other,2nd Grade,12th Grade
CICELY TYSON SCHOOL  PER ARTS (MS/HIGH SCHOOL),ESSEX,1-Regular school,3404230,872,140,112,95,85,394,478,0,2,852,18,0,494,12.11,72,4-Other,6th Grade,12th Grade
CINNAMINSON HIGH SCHOOL,BURLINGTON,1-Regular school,3403120,733,168,186,200,179,363,370,0,29,60,31,606,30,13.88,52.8,3-High,9th Grade,12th Grade
CLASS ACADEMY,MONMOUTH,3-Vocational school,3417500,68,0,3,26,39,35,33,0,0,20,7,41,21,9.71,7,3-High,10th Grade,12th Grade
CLASSICAL ACADEMY CS OF CLIFTO,PASSAIC,1-Regular school,3400052,112,0,0,0,0,47,65,0,19,1,66,26,28,13.49,8.3,4-Other,6th Grade,12th Grade
CLAYTON HIGH SCHOOL,GLOUCESTER,1-Regular school,3403180,335,90,81,77,87,164,171,3,11,84,20,211,132,10.98,30.5,3-High,9th Grade,12th Grade
CLEARVIEW REGIONAL HIGH SCHOOL,GLOUCESTER,1-Regular school,3403210,1600,387,348,429,385,817,783,4,44,69,29,1453,85,14.98,106.8,3-High,9th Grade,12th Grade
CLIFFSIDE PARK HIGH SCHOOL,BERGEN,1-Regular school,3403270,986,219,244,202,262,495,491,2,37,40,505,394,428,13.51,73,3-High,9th Grade,12th Grade
CLIFTON HIGH SCHOOL,PASSAIC,1-Regular school,3403300,3373,871,898,748,764,1732,1641,5,310,163,1607,1284,974,17.13,196.9,3-High,9th Grade,12th Grade
COLLINGSWOOD SR HIGH SCHOOL,CAMDEN,1-Regular school,3403420,753,136,198,202,217,394,359,1,38,150,131,427,202,16.73,45,3-High,9th Grade,12th Grade
COLONIA HIGH SCHOOL,MIDDLESEX,1-Regular school,3418120,1412,311,381,325,358,710,702,0,199,214,209,787,292,12.63,111.8,3-High,9th Grade,12th Grade
COLTS NECK HIGH SCHOOL,MONMOUTH,1-Regular school,3405610,1568,409,389,340,383,816,752,0,124,27,148,1264,68,19.12,82,3-High,9th Grade,12th Grade
COLUMBIA SR HIGH SCHOOL,ESSEX,1-Regular school,3415330,1797,498,484,389,412,917,880,2,65,931,97,690,306,12.73,141.2,3-High,9th Grade,12th Grade
COMMUNICATIONS HIGH SCHOOL,MONMOUTH,3-Vocational school,3417500,300,82,73,70,75,113,187,0,12,6,8,274,1,10.71,28,3-High,9th Grade,12th Grade
COSTELLO PREP,BURLINGTON,4-Alternative/other school,3400089,25,6,8,6,5,25,0,0,0,21,4,0,0,3.57,7,3-High,9th Grade,12th Grade
COUNTY PREP HIGH SCHOOL,HUDSON,3-Vocational school,3407570,612,144,155,135,178,270,342,1,185,74,227,114,179,9.64,63.5,3-High,9th Grade,12th Grade
CRANFORD SR HIGH SCHOOL,UNION,1-Regular school,3403570,1139,276,268,294,271,624,515,0,31,42,57,1008,26,11.67,97.6,3-High,9th Grade,12th Grade
CREATIVE & PRFRMG ARTS HIGH SCHOOL,CAMDEN,1-Regular school,3402640,149,32,37,35,45,52,97,0,0,107,42,0,79,5.73,26,3-High,9th Grade,12th Grade
CRESSKILL JR SR HIGH SCHOOL,BERGEN,1-Regular school,3403600,561,150,125,141,145,274,287,0,201,6,40,314,11,22.9,24.5,3-High,9th Grade,12th Grade
CUMBERLAND COUNTY   JUV   CENTER,CUMBERLAND,4-Alternative/other school,3400089,45,11,13,14,3,40,5,0,0,27,13,5,0,11.25,4,3-High,7th Grade,12th Grade
CUMBERLAND COUNTY TECH ED CT,CUMBERLAND,3-Vocational school,3403610,502,0,35,174,241,242,260,5,1,117,210,167,188,20.08,25,3-High,10th Grade,12th Grade
CUMBERLAND REGIONAL H S,CUMBERLAND,1-Regular school,3403620,1314,344,362,310,276,673,641,35,18,363,121,768,330,16.98,77.4,3-High,9th Grade,12th Grade
CUMBERLAND REGIONAL SCHOOL,CUMBERLAND,4-Alternative/other school,3400085,12,2,0,5,2,8,4,0,1,7,3,1,0,3,4,3-High,7th Grade,12th Grade
CUNNINGHAM,CUMBERLAND,1-Regular school,3416800,111,5,27,37,29,62,49,0,1,30,69,11,33,5.05,22,3-High,7th Grade,12th Grade
DARETOWN SCHOOL,SALEM,2-Special education school,3480361,100,9,9,4,4,77,23,0,1,27,9,62,33,3.7,27,4-Other,Prekindergarten,12th Grade
DAVID BREARLEY HIGH SCHOOL,UNION,1-Regular school,3407920,666,108,111,96,117,349,317,0,20,61,157,424,116,12.22,54.5,4-Other,6th Grade,12th Grade
DAYLIGHT  TWILIGHT H S,MERCER,1-Regular school,3416290,293,65,99,73,56,155,138,0,1,217,73,2,68,8.62,34,4-Other,5th Grade,12th Grade
DELAWARE VALLEY REGIONAL HIGH SCHOOL,HUNTERDON,1-Regular school,3403750,970,258,263,203,237,527,443,1,11,14,29,915,27,18.48,52.5,3-High,9th Grade,12th Grade
DELRAN HIGH SCHOOL,BURLINGTON,1-Regular school,3403780,899,217,212,224,210,458,441,1,42,104,55,680,83,14.88,60.4,3-High,9th Grade,12th Grade
DELSEA REGIONAL HIGH SCHOOL,GLOUCESTER,1-Regular school,3415450,1202,311,281,278,279,612,590,1,13,177,40,963,242,14.66,82,3-High,9th Grade,12th Grade
DEPTFORD TWP HIGH SCHOOL,GLOUCESTER,1-Regular school,3403900,1070,274,274,243,259,552,518,3,50,251,61,703,248,14.02,76.3,3-High,9th Grade,12th Grade
DEVEL L C  HAMILTON SHCOOL,UNION,2-Special education school,3400005,71,0,0,2,2,61,10,0,2,29,16,24,11,4.23,16.8,4-Other,Prekindergarten,12th Grade
DEVEL L C  NEW PROVIDENCE,UNION,2-Special education school,3400005,86,5,4,5,10,66,20,0,6,26,8,45,4,3.91,22,4-Other,3rd Grade,12th Grade
DEVEL L C  WARREN,SOMERSET,2-Special education school,3400005,164,1,6,3,8,133,31,2,19,11,20,111,8,3.4,48.2,4-Other,Prekindergarten,12th Grade
DOVER HIGH SCHOOL,MORRIS,1-Regular school,3403930,868,242,225,176,193,451,417,0,21,71,644,131,442,12.67,68.5,3-High,9th Grade,12th Grade
DOVES,BURLINGTON,4-Alternative/other school,3400089,10,3,4,2,1,0,10,0,0,8,1,1,0,1.67,6,3-High,9th Grade,12th Grade
DR RONALD MC NAIR ACADEMY HIGH SCHOOL,HUDSON,1-Regular school,3407830,694,183,180,175,156,289,405,8,223,129,160,159,237,16.14,43,3-High,9th Grade,12th Grade
DUMONT HIGH SCHOOL,BERGEN,1-Regular school,3403990,895,220,250,202,212,432,463,5,94,21,165,580,62,13.81,64.8,3-High,9th Grade,12th Grade
DUNELLEN HIGH SCHOOL,MIDDLESEX,1-Regular school,3404020,300,79,77,73,71,161,139,0,10,28,89,164,70,17.65,17,3-High,9th Grade,12th Grade
DWIGHT MORROW HIGH SCHOOL,BERGEN,1-Regular school,3404740,994,283,256,230,225,515,479,2,169,429,299,79,413,11.48,86.6,3-High,9th Grade,12th Grade
E S C SCHOOL,HUNTERDON,2-Special education school,3480360,62,1,0,1,1,46,16,0,0,46,11,5,50,4.25,14.6,4-Other,1st Grade,12th Grade
E S C TEWKSBURY,HUNTERDON,2-Special education school,3480360,5,0,1,3,1,3,2,0,0,2,1,2,0,5,1,3-High,10th Grade,12th Grade
EAST BRUNSWICK HIGH SCHOOL,MIDDLESEX,1-Regular school,3404110,2243,0,729,722,746,1142,1101,0,626,107,127,1383,151,15.31,146.5,3-High,10th Grade,12th Grade
EAST ORANGE CAMPUS HIGH SCHOOL,ESSEX,1-Regular school,3404230,1616,0,486,457,449,831,785,0,0,1522,94,0,825,13.1,123.4,3-High,10th Grade,12th Grade
EAST SIDE,ESSEX,1-Regular school,3411340,1250,322,259,283,257,676,574,0,14,186,632,418,804,15.06,83,3-High,9th Grade,12th Grade
EASTERN HIGH SCHOOL,CAMDEN,1-Regular school,3404380,1034,0,0,506,528,530,504,1,165,109,39,676,68,16.41,63,3-High,11th Grade,12th Grade
EDISON HIGH SCHOOL,MIDDLESEX,1-Regular school,3404500,1982,472,524,500,486,1029,953,3,579,258,317,821,302,13.58,146,3-High,9th Grade,12th Grade
EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN,HUNTERDON,4-Alternative/other school,3400088,8,1,0,3,4,0,8,0,0,3,1,2,0,1.6,5,3-High,9th Grade,12th Grade
EGG HARBOR TWP H S,ATLANTIC,1-Regular school,3404560,2546,615,648,648,626,1266,1280,1,332,308,508,1263,584,15.91,160,3-High,9th Grade,12th Grade
ELIZABETH HIGH SCHOOL,UNION,1-Regular school,3404590,687,219,172,166,130,275,412,0,28,102,456,101,449,11.45,60,3-High,9th Grade,12th Grade
EMERSON JR SR HIGH SCHOOL,BERGEN,1-Regular school,3404710,530,84,80,87,92,272,258,0,41,7,57,422,22,13.55,39.1,3-High,7th Grade,12th Grade
EMILY FISHER CS OF ADV  STUDIE,MERCER,1-Regular school,3400037,369,51,47,46,65,176,193,0,0,235,132,2,297,11.18,33,4-Other,5th Grade,12th Grade
ENHANCEMENT TECH PRG  LAKE,OCEAN,3-Vocational school,3480240,2,0,0,0,2,0,2,0,0,1,0,1,0,0.67,3,3-High,12th Grade,12th Grade
ESSEX CAMPUS ACADEMY,ESSEX,2-Special education school,3480300,9,1,2,3,2,7,2,0,0,9,0,0,3,3,3,3-High,8th Grade,12th Grade
ESSEX COUNTY  YOUTH HOUSE,ESSEX,4-Alternative/other school,3400089,140,39,52,32,10,134,6,1,0,117,19,3,0,10.77,13,3-High,7th Grade,12th Grade
ESSEX CTY V N 13TH ST NWK,ESSEX,3-Vocational school,3404800,635,161,138,131,92,279,356,0,9,291,330,2,500,10.95,58,3-High,9th Grade,12th Grade
ESSEX CTY VOCATIONAL  WEST CALDW,ESSEX,3-Vocational school,3404800,238,40,21,19,22,120,118,1,2,99,110,23,138,7.63,31.2,3-High,9th Grade,12th Grade
ESSEX CTY VOCATIONAL BLOOMFIELD,ESSEX,3-Vocational school,3404800,475,146,116,110,103,229,246,2,6,234,222,6,369,11.88,40,3-High,9th Grade,12th Grade
ESSEX HIGH SCHOOL,PASSAIC,2-Special education school,3480300,18,0,1,3,0,11,7,0,0,11,7,0,7,4.5,4,3-High,9th Grade,12th Grade
ESSEX RGC,ESSEX,4-Alternative/other school,3400089,14,6,4,3,1,14,0,0,0,13,1,0,0,3.5,4,3-High,9th Grade,12th Grade
EWING HIGH SCHOOL,MERCER,1-Regular school,3404920,1054,315,290,222,227,517,537,0,31,554,115,337,229,12.85,82,3-High,9th Grade,12th Grade
EWING RESIDENTIAL TREATMENT CENTER,MERCER,4-Alternative/other school,3400085,17,3,6,4,3,17,0,0,0,11,4,2,0,0,0,3-High,8th Grade,12th Grade
FAIR LAWN HIGH SCHOOL,BERGEN,1-Regular school,3404980,1573,365,397,368,403,807,766,2,174,40,220,1135,86,15.45,101.8,3-High,9th Grade,12th Grade
FAST TRACK SUCCESS ACADEMY,ESSEX,1-Regular school,3411340,213,8,39,57,67,0,0,0,0,0,0,0,130,0,0,4-Other,6th Grade,12th Grade
FLORENCE TWP MEM HIGH SCHOOL,BURLINGTON,1-Regular school,3405220,440,111,112,119,98,239,201,0,38,117,13,272,85,13.62,32.3,3-High,9th Grade,12th Grade
FORT LEE HIGH SCHOOL,BERGEN,1-Regular school,3405310,983,226,238,268,230,497,486,1,395,35,179,372,109,13.75,71.5,3-High,9th Grade,12th Grade
FRANKLIN TWP HIGH SCHOOL,SOMERSET,1-Regular school,3405490,2048,540,542,446,459,986,1062,2,233,972,386,451,547,13.64,150.2,3-High,9th Grade,12th Grade
FREEHOLD BOROUGH HIGH SCHOOL,MONMOUTH,1-Regular school,3405610,1519,410,364,357,343,742,777,1,147,125,252,972,163,18.48,82.2,3-High,9th Grade,12th Grade
FREEHOLD TWP HIGH SCHOOL,MONMOUTH,1-Regular school,3405610,2519,655,599,616,612,1154,1365,5,113,142,179,2062,102,21.1,119.4,3-High,9th Grade,12th Grade
FRESH START,MONMOUTH,4-Alternative/other school,3400089,10,1,2,5,2,10,0,0,0,6,4,0,0,2.5,4,3-High,9th Grade,12th Grade
GARDEN STATE CORRECTIONAL FACILITY,BURLINGTON,4-Alternative/other school,3400088,139,66,29,10,34,139,0,0,0,98,31,10,0,8.18,17,3-High,9th Grade,12th Grade
GARFIELD HIGH SCHOOL,BERGEN,1-Regular school,3405760,1114,255,288,248,248,553,561,1,16,101,538,453,608,14.32,77.8,3-High,9th Grade,12th Grade
GATEWAY REGIONAL HIGH SCHOOL,GLOUCESTER,1-Regular school,3405820,858,127,134,135,136,425,433,1,16,37,26,772,178,11.03,77.8,3-High,7th Grade,12th Grade
GEORGE W  HERLICH JUV  DET  CENTER,UNION,4-Alternative/other school,3400089,36,7,10,10,7,33,3,0,0,30,4,1,0,7.2,5,3-High,7th Grade,12th Grade
GLASSBORO HIGH SCHOOL,GLOUCESTER,1-Regular school,3405880,610,169,146,149,146,294,316,0,26,223,37,324,175,11.62,52.5,3-High,9th Grade,12th Grade
GLEN RIDGE HIGH SCHOOL,ESSEX,1-Regular school,3405940,805,148,135,115,124,399,406,0,45,51,25,683,0,14.58,55.2,3-High,7th Grade,12th Grade
GLEN ROCK HIGH SCHOOL,BERGEN,1-Regular school,3405970,726,171,170,202,183,366,360,1,91,5,30,598,5,12.52,58,3-High,9th Grade,12th Grade
GLOUCESTER CITY JR SR H,CAMDEN,1-Regular school,3406000,824,125,157,123,135,395,429,2,17,43,53,707,367,9.71,84.9,3-High,7th Grade,12th Grade
GLOUCESTER COUNTY INST TECH,GLOUCESTER,3-Vocational school,3406040,1136,609,31,258,238,553,583,4,16,70,43,956,136,13.94,81.5,4-Other,2nd Grade,12th Grade
