1,d
2,a
3,c
4,b
5,b
6,e
7,a
8,d
9,d
10,c
11,d
12,d
13,e
14,b
15,d
16,c
17,c
18,a
19,c
20,b
21,c
22,b
23,a
24,b
25,c
26,b
27,c
28,b
29,c
30,a
31,e
32,d
33,b
34,a
35,d
36,a
37,d
