ID,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qc18,qc19,qc20,qc21,qc22,qc23,qc24,qc25,qc26,qc27,qc28,qc29,qc30,qc31,qc32,qc33,qc34,qc35,qc36,qc37,qc38,qc39,qc40,qc41,qc42,qc43,qc44,qc45,qc46,qc47,qc48,qc49,qc50,qcTIME,cclassOverF,cclassOverU,cclassAllF,cclassAllU,cclassPIF,cclassPIU,cclassRWF,cclassRWU,cclassGenF,cclassGenU,cclassConF,cclassConU,cclassSophF,cclassSophU,cclassSEF,cclassSEU,cclassCCF,cclassCCU,cclassCLF,cclassCLU,cclassPerF,cclassPerU
150005504,5,1,2,2,5,4,4,2,4,5,2,5,5,1,4,4,1,1,2,4,3,3,2,4,3,3,2,1,2,3,4,3,3,4,3,2,3,2,3,2,1,2,2,3,3,3,2,2,3,3,12/6/13 16:06,20,48.88888889,19.44444444,52.77777778,50,50,50,50,10,50,25,75,14.28571429,57.14285714,33.33333333,22.22222222,14.28571429,57.14285714,14.28571429,71.42857143,0,66.66666667
152007836,4,2,3,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/13 16:11,0,11.11111111,0,13.88888889,0,16.66666667,0,0,0,0,0,0,0,14.28571429,0,0,0,28.57142857,0,42.85714286,0,16.66666667
150004536,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,12/6/13 16:21,52.27272727,47.72727273,57.14285714,42.85714286,100,0,66.66666667,33.33333333,60,40,75,25,28.57142857,71.42857143,55.55555556,44.44444444,0,100,0,100,100,0
150000560,4,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,12/6/13 16:27,55.55555556,35.55555556,61.11111111,27.77777778,100,0,75,25,70,30,100,0,57.14285714,28.57142857,55.55555556,44.44444444,14.28571429,57.14285714,28.57142857,28.57142857,83.33333333,0
152007834,2,2,0,2,2,2,2,2,2,5,2,2,4,2,4,3,2,4,4,4,2,2,2,3,3,2,5,3,1,4,4,2,3,3,4,4,1,2,5,5,2,0,3,2,3,3,2,4,4,1,12/6/13 16:35,53.48837209,25.58139535,54.28571429,22.85714286,33.33333333,16.66666667,50,0,80,10,100,0,57.14285714,0,75,12.5,71.42857143,14.28571429,71.42857143,0,0,83.33333333
152006283,5,3,3,1,5,4,4,3,4,3,2,3,3,5,2,2,3,2,4,3,1,5,2,3,4,2,5,1,3,3,4,1,3,3,1,2,4,3,2,2,4,0,3,4,2,4,4,4,3,4,12/6/13 16:41,25,43.18181818,20,45.71428571,0,66.66666667,0,50,30,50,25,75,0,85.71428571,50,12.5,14.28571429,57.14285714,0,71.42857143,16.66666667,16.66666667
151004553,4,3,2,3,4,2,1,3,5,2,3,2,5,4,3,3,4,4,4,3,2,4,2,2,5,2,4,3,3,4,4,0,5,3,1,5,2,3,3,2,2,3,3,5,4,3,2,2,4,1,12/6/13 16:44,56.81818182,13.63636364,58.33333333,8.333333333,33.33333333,0,50,0,70,10,75,25,57.14285714,28.57142857,66.66666667,0,71.42857143,0,71.42857143,28.57142857,50,0
152002121,2,4,3,4,3,4,3,4,3,3,4,4,5,5,5,5,5,3,4,3,3,4,4,4,3,3,3,3,5,5,3,4,4,5,4,3,5,4,4,5,4,5,0,5,4,5,5,4,5,5,12/6/13 16:46,43.18181818,31.81818182,48.57142857,28.57142857,66.66666667,0,33.33333333,33.33333333,40,30,50,25,14.28571429,57.14285714,44.44444444,22.22222222,0,85.71428571,14.28571429,57.14285714,100,0
152002121,2,4,3,4,3,4,3,4,3,3,4,4,5,5,5,5,5,3,4,3,3,4,4,4,3,3,3,3,5,5,3,4,4,5,4,3,5,4,4,5,4,5,0,5,4,5,5,4,5,5,12/6/13 16:47,43.18181818,31.81818182,48.57142857,28.57142857,66.66666667,0,33.33333333,33.33333333,40,30,50,25,14.28571429,57.14285714,44.44444444,22.22222222,0,85.71428571,14.28571429,57.14285714,100,0
150004091,4,3,4,2,3,3,4,4,4,3,3,4,3,3,2,3,3,4,4,3,3,2,3,2,3,1,3,1,2,4,4,2,5,3,2,4,3,2,2,3,2,2,1,4,3,4,2,2,3,2,12/6/13 16:50,40,22.22222222,41.66666667,22.22222222,16.66666667,33.33333333,50,25,60,10,75,0,42.85714286,14.28571429,44.44444444,11.11111111,57.14285714,14.28571429,28.57142857,42.85714286,33.33333333,16.66666667
150009708,5,5,5,3,3,5,2,4,5,4,5,4,5,4,5,5,5,4,5,4,5,5,5,4,5,3,3,5,4,3,4,5,4,3,4,3,5,4,4,5,5,3,0,5,3,3,4,5,5,4,12/6/13 16:53,36.36363636,43.18181818,40,37.14285714,50,0,0,33.33333333,50,40,75,25,28.57142857,71.42857143,22.22222222,33.33333333,14.28571429,85.71428571,14.28571429,85.71428571,100,0
152008366,3,3,4,3,4,2,3,3,4,4,4,2,5,2,2,3,3,4,5,2,2,4,2,2,3,1,5,3,4,4,1,2,4,4,2,4,2,1,3,4,2,4,3,4,3,4,2,1,4,2,12/6/13 16:55,75.55555556,2.222222222,75,0,50,0,75,0,90,0,100,0,71.42857143,0,100,0,85.71428571,0,57.14285714,0,66.66666667,0
150005656,3,4,4,4,2,2,2,3,2,2,4,0,4,5,2,4,4,3,4,3,4,4,2,2,2,2,4,2,4,4,4,2,4,3,3,4,2,3,5,4,1,2,4,4,5,4,1,1,4,1,12/6/13 16:58,77.27272727,9.090909091,80,8.571428571,66.66666667,16.66666667,75,0,70,20,75,0,85.71428571,14.28571429,66.66666667,22.22222222,85.71428571,0,83.33333333,0,100,0
151002424,2,4,4,3,4,3,4,2,4,4,3,0,4,4,2,3,3,4,4,3,4,4,4,3,4,2,4,3,4,4,4,3,4,4,2,4,4,4,4,4,3,2,1,3,3,4,2,2,4,2,12/6/13 17:04,50,22.72727273,54.28571429,20,50,0,50,25,80,10,100,0,42.85714286,14.28571429,66.66666667,33.33333333,28.57142857,42.85714286,33.33333333,33.33333333,50,0
151005608,5,4,4,3,5,2,3,2,5,4,1,3,4,1,4,3,1,3,3,4,4,4,3,3,2,2,1,1,1,3,4,1,4,3,2,3,3,3,3,4,3,2,2,3,5,2,2,3,4,3,12/6/13 17:04,33.33333333,28.88888889,25,30.55555556,16.66666667,16.66666667,0,25,30,30,50,0,57.14285714,14.28571429,33.33333333,44.44444444,14.28571429,14.28571429,42.85714286,14.28571429,33.33333333,50
149004227,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/13 17:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151004786,4,3,5,1,5,2,4,3,5,1,2,5,3,5,3,2,1,4,3,3,5,2,3,5,4,3,1,1,3,3,4,2,3,2,4,3,3,4,3,3,4,3,2,1,1,2,3,5,5,3,12/6/13 17:09,11.11111111,53.33333333,8.333333333,52.77777778,0,66.66666667,0,75,20,20,25,0,14.28571429,42.85714286,11.11111111,55.55555556,14.28571429,42.85714286,14.28571429,71.42857143,0,50
