ID,qp1,qp2,qp3,qp4,qp5,qp6,qp7,qp8,qp9,qp10,qp11,qp12,qp13,qp14,qp15,qp16,qp17,qp18,qp19,qp20,qp21,qp22,qp23,qp24,qp25,qp26,qp27,qp28,qp29,qp30,qp31,qp32,qp33,qp34,qp35,qp36,qp37,qp38,qp39,qp40,qp41,qp42,qpPTIME,pclassOverF,pclassOverU,pclassAllF,pclassAllU,pclassPIF,pclassPIU,pclassRWF,pclassRWU,pclassGenF,pclassGenU,pclassConF,pclassConU,pclassSophF,pclassSophU,pclassSEF,pclassSEU,pclassCUF,pclassCUU,pclassACF,pclassACU
151002128,5,5,4,4,4,4,5,5,5,4,4,4,4,4,5,5,4,4,4,5,4,4,5,5,5,4,4,4,4,5,4,5,5,4,4,5,3,4,4,5,4,4,12/3/13 14:26,47.22222222,50,53.84615385,42.30769231,100,0,50,25,75,25,75,25,33.33333333,66.66666667,71.42857143,28.57142857,0,100,0,100
144005893,5,4,1,4,3,3,1,5,2,4,4,5,1,4,4,4,3,1,3,1,5,3,2,4,2,4,2,3,1,5,4,2,1,3,1,2,1,1,5,3,2,2,12/3/13 14:43,47.22222222,30.55555556,46.15384615,30.76923077,50,33.33333333,50,25,50,25,50,0,0,33.33333333,71.42857143,28.57142857,33.33333333,33.33333333,0,42.85714286
150009434,3,5,4,3,1,2,2,4,1,2,4,4,2,4,4,5,2,1,3,3,2,3,2,3,3,4,3,3,2,4,4,2,3,4,2,2,3,5,3,2,1,4,12/3/13 15:11,63.88888889,8.333333333,65.38461538,7.692307692,66.66666667,0,50,0,87.5,0,100,0,66.66666667,0,57.14285714,14.28571429,83.33333333,0,57.14285714,14.28571429
152003381,2,3,5,5,3,1,3,4,1,1,4,5,2,3,4,3,2,3,4,3,3,4,5,5,3,5,1,5,2,5,4,1,2,4,1,4,5,4,5,3,3,4,12/3/13 15:31,63.88888889,11.11111111,65.38461538,11.53846154,66.66666667,0,100,0,62.5,0,50,0,16.66666667,16.66666667,85.71428571,14.28571429,66.66666667,0,28.57142857,28.57142857
153001209,5,4,4,4,5,1,5,5,3,3,5,5,5,3,4,5,4,2,4,5,5,4,3,5,2,5,3,5,4,4,4,3,2,3,2,2,1,1,4,5,4,4,12/3/13 15:41,41.66666667,41.66666667,46.15384615,38.46153846,66.66666667,16.66666667,75,25,50,37.5,50,25,0,83.33333333,57.14285714,14.28571429,16.66666667,66.66666667,14.28571429,85.71428571
150006492,3,2,3,4,3,1,3,3,1,2,3,5,0,0,2,3,2,5,4,1,3,3,2,4,1,3,4,3,2,3,4,2,3,2,2,1,1,4,3,1,4,4,12/3/13 16:43,38.23529412,26.47058824,29.16666667,20.83333333,0,20,25,25,28.57142857,42.85714286,25,50,16.66666667,33.33333333,57.14285714,14.28571429,40,0,28.57142857,0
150006856,4,2,3,5,4,3,3,5,4,2,5,5,4,4,4,4,3,1,4,1,3,2,2,3,3,4,5,4,1,4,4,3,3,4,2,2,4,4,4,2,2,3,12/3/13 16:48,55.55555556,22.22222222,53.84615385,19.23076923,66.66666667,0,100,0,62.5,12.5,100,0,50,16.66666667,42.85714286,14.28571429,0,50,28.57142857,42.85714286
149008859,1,4,4,3,2,2,1,4,3,2,3,3,2,4,4,4,2,4,4,2,2,3,2,4,4,4,3,4,2,4,4,2,3,4,4,4,4,4,4,2,4,4,12/3/13 17:29,80.55555556,8.333333333,84.61538462,7.692307692,83.33333333,0,75,25,100,0,100,0,83.33333333,0,85.71428571,0,100,0,71.42857143,14.28571429
151003455,3,5,5,3,2,2,2,5,5,1,4,4,1,4,4,5,3,1,5,1,3,4,2,4,5,5,2,5,3,5,4,1,5,4,1,3,5,5,5,2,4,5,12/3/13 17:34,77.77777778,8.333333333,80.76923077,7.692307692,100,0,100,0,100,0,100,0,66.66666667,16.66666667,85.71428571,0,66.66666667,0,42.85714286,28.57142857
137006962,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/3/13 17:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152009135,4,4,5,4,4,2,4,3,2,2,4,5,2,4,4,5,2,4,3,2,3,3,2,3,4,4,3,5,2,4,4,1,4,4,1,2,5,2,3,2,4,4,12/3/13 17:59,63.88888889,16.66666667,69.23076923,11.53846154,100,0,100,0,100,0,100,0,50,16.66666667,57.14285714,14.28571429,50,33.33333333,28.57142857,28.57142857
152001067,2,5,5,4,1,2,2,4,2,2,5,4,2,4,4,3,1,1,3,3,2,3,2,4,4,4,2,4,1,4,4,2,2,4,1,3,5,4,4,2,3,4,12/3/13 17:59,80.55555556,5.555555556,84.61538462,3.846153846,100,0,100,0,87.5,0,75,0,83.33333333,0,85.71428571,0,100,0,71.42857143,14.28571429
150008512,2,5,5,4,3,1,1,3,2,3,5,5,3,5,3,5,3,2,4,4,2,4,2,5,5,5,1,5,1,5,4,3,4,2,1,1,5,5,5,3,2,5,12/3/13 18:20,63.88888889,13.88888889,65.38461538,11.53846154,100,0,100,0,50,12.5,25,25,33.33333333,33.33333333,71.42857143,14.28571429,50,0,42.85714286,14.28571429
,3,3,4,3,4,2,1,4,3,2,2,4,2,2,4,4,4,4,4,2,4,4,2,3,2,3,4,4,2,4,4,2,2,3,2,4,4,4,3,1,3,3,12/3/13 18:24,50,30.55555556,50,26.92307692,50,50,100,0,50,12.5,75,0,16.66666667,66.66666667,42.85714286,14.28571429,50,33.33333333,28.57142857,57.14285714
137006962,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,12/3/13 18:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152003762,4,4,5,4,2,1,5,5,4,4,2,1,4,5,5,5,2,2,5,1,1,4,2,5,4,5,1,5,2,5,4,2,5,4,1,4,2,1,5,1,2,2,12/3/13 18:50,75,25,73.07692308,26.92307692,83.33333333,16.66666667,75,25,75,25,100,0,83.33333333,16.66666667,71.42857143,28.57142857,66.66666667,33.33333333,57.14285714,42.85714286
146005110,3,3,2,4,2,3,2,4,2,2,4,3,2,3,3,4,2,2,3,2,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,0,2,3,3,12/3/13 19:05,31.42857143,5.714285714,28,8,16.66666667,16.66666667,25,0,37.5,0,50,0,33.33333333,0,33.33333333,0,33.33333333,0,28.57142857,14.28571429
146001872,3,4,4,5,2,4,2,4,4,1,4,5,2,3,4,5,3,3,2,1,3,3,2,5,4,4,3,4,1,5,4,2,2,4,2,3,3,4,4,1,4,4,12/3/13 19:24,63.88888889,11.11111111,69.23076923,7.692307692,83.33333333,0,75,0,100,0,100,0,66.66666667,0,85.71428571,0,50,16.66666667,28.57142857,28.57142857
152000780,2,5,4,5,2,1,3,4,1,1,3,5,3,2,2,5,1,2,4,2,3,3,1,4,4,5,5,4,1,4,4,2,2,4,1,3,2,5,4,2,4,5,12/3/13 19:42,69.44444444,16.66666667,65.38461538,15.38461538,66.66666667,16.66666667,75,25,75,12.5,75,25,66.66666667,0,71.42857143,0,66.66666667,0,57.14285714,14.28571429
141007206,4,3,3,5,2,1,2,5,4,2,4,4,4,3,5,4,3,2,3,3,1,4,2,4,3,4,4,4,2,4,4,2,1,4,1,4,4,4,4,2,3,5,12/3/13 20:22,63.88888889,16.66666667,73.07692308,15.38461538,50,0,100,0,75,12.5,100,0,66.66666667,16.66666667,100,0,66.66666667,33.33333333,57.14285714,42.85714286
153006715,5,5,5,5,5,5,5,4,4,3,4,4,2,4,5,5,4,3,5,4,5,5,5,5,5,5,4,3,4,4,3,4,4,5,4,4,5,3,5,3,4,3,12/3/13 20:42,44.44444444,38.88888889,53.84615385,34.61538462,83.33333333,0,50,25,75,0,75,0,33.33333333,50,57.14285714,28.57142857,16.66666667,83.33333333,0,85.71428571
151001780,4,4,2,4,3,2,3,4,1,2,5,5,4,4,3,4,4,1,5,3,2,4,3,3,4,3,3,3,3,4,4,3,4,3,3,4,4,2,4,2,3,4,12/3/13 21:32,44.44444444,22.22222222,46.15384615,19.23076923,66.66666667,16.66666667,50,0,50,12.5,50,0,50,16.66666667,57.14285714,0,33.33333333,33.33333333,42.85714286,42.85714286
151007489,3,4,4,4,2,1,5,3,2,2,3,5,2,1,4,4,3,1,3,3,3,4,2,4,3,4,1,4,2,3,4,2,3,4,3,3,4,3,4,2,2,3,12/3/13 22:42,55.55555556,8.333333333,57.69230769,7.692307692,33.33333333,16.66666667,50,0,75,0,100,0,50,16.66666667,57.14285714,0,66.66666667,0,42.85714286,14.28571429
147004734,4,5,5,4,2,2,2,5,2,2,2,3,4,4,2,3,2,4,2,4,4,2,4,4,3,2,2,3,3,4,3,4,4,2,3,2,3,3,4,2,3,4,12/3/13 22:46,38.88888889,38.88888889,38.46153846,42.30769231,50,16.66666667,25,0,25,50,25,50,50,33.33333333,42.85714286,57.14285714,33.33333333,66.66666667,57.14285714,42.85714286
152008638,5,5,1,5,5,3,3,5,3,3,5,5,3,3,3,3,4,3,4,3,4,3,3,3,3,3,4,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,12/3/13 23:10,11.11111111,25,7.692307692,23.07692308,16.66666667,16.66666667,0,0,0,0,0,0,0,33.33333333,28.57142857,14.28571429,0,66.66666667,0,57.14285714
57000904,1,5,5,5,4,1,2,2,2,2,5,5,2,3,4,5,2,2,2,3,3,2,1,5,5,4,1,5,1,5,4,2,3,3,2,1,4,1,5,3,1,4,12/3/13 23:52,72.22222222,13.88888889,76.92307692,7.692307692,83.33333333,0,100,0,75,0,50,0,33.33333333,16.66666667,85.71428571,14.28571429,66.66666667,16.66666667,57.14285714,14.28571429
154000462,1,5,4,4,3,1,2,2,1,2,5,4,2,2,4,5,5,2,2,2,2,2,1,5,5,5,1,5,1,5,4,1,5,5,1,2,2,4,5,1,5,4,12/4/13 0:27,80.55555556,16.66666667,84.61538462,11.53846154,83.33333333,16.66666667,75,25,100,0,100,0,83.33333333,0,85.71428571,14.28571429,83.33333333,0,85.71428571,0
152008111,2,5,4,5,5,3,1,5,1,1,5,3,1,5,4,5,5,3,5,5,1,4,1,4,5,5,5,5,1,5,4,3,4,4,4,4,5,1,5,2,4,4,12/4/13 1:00,66.66666667,22.22222222,76.92307692,15.38461538,100,0,75,25,100,0,100,0,66.66666667,33.33333333,85.71428571,0,50,16.66666667,42.85714286,42.85714286
151004832,3,4,4,4,4,4,4,5,5,4,4,3,2,4,5,5,5,2,3,5,3,5,3,4,5,3,5,4,4,4,3,4,4,5,4,5,4,5,3,1,4,5,12/4/13 5:02,50,30.55555556,57.69230769,23.07692308,100,0,75,25,87.5,0,100,0,50,33.33333333,57.14285714,14.28571429,16.66666667,50,14.28571429,57.14285714
147008957,3,2,3,5,2,1,1,5,1,1,4,5,2,1,5,5,4,1,1,3,3,4,2,5,4,5,2,3,4,2,4,1,3,5,1,5,3,1,5,2,5,4,12/4/13 8:37,55.55555556,27.77777778,65.38461538,15.38461538,33.33333333,33.33333333,25,25,100,0,100,0,66.66666667,16.66666667,100,0,66.66666667,0,42.85714286,28.57142857
151007134,4,5,2,5,2,2,3,4,2,2,4,4,4,4,3,5,4,3,5,1,1,0,2,3,3,4,3,4,1,4,4,2,4,4,1,4,2,4,4,1,5,5,12/4/13 9:36,65.71428571,20,68,20,66.66666667,16.66666667,75,25,62.5,12.5,75,0,80,0,85.71428571,0,66.66666667,33.33333333,66.66666667,33.33333333
153000681,2,5,5,5,1,1,4,2,3,1,5,5,1,5,4,5,2,1,3,1,1,3,1,5,5,5,4,5,1,5,4,1,2,5,1,4,5,5,5,1,2,5,12/4/13 10:32,88.88888889,5.555555556,96.15384615,0,100,0,100,0,100,0,100,0,83.33333333,0,100,0,100,0,85.71428571,0
145002276,2,5,5,5,4,1,3,4,4,2,4,2,4,4,4,4,2,3,4,2,2,4,2,4,4,4,4,4,2,4,4,2,5,4,1,4,4,4,4,2,3,4,12/4/13 10:55,83.33333333,13.88888889,84.61538462,15.38461538,100,0,100,0,87.5,12.5,100,0,66.66666667,33.33333333,100,0,66.66666667,33.33333333,57.14285714,42.85714286
151001171,4,5,5,3,0,1,4,5,3,4,5,2,1,5,3,5,2,2,3,2,5,2,5,5,4,3,5,5,2,5,4,2,5,4,1,2,5,4,5,3,2,4,12/4/13 11:41,68.57142857,20,68,20,100,0,100,0,62.5,0,50,0,60,20,71.42857143,28.57142857,60,40,33.33333333,50
152009249,4,4,3,4,4,2,4,5,2,3,3,4,1,4,2,4,4,2,4,4,4,4,2,5,3,5,4,4,4,3,4,2,2,2,2,2,2,5,4,4,4,2,12/4/13 11:56,41.66666667,44.44444444,42.30769231,42.30769231,33.33333333,0,50,25,37.5,50,25,75,0,83.33333333,57.14285714,28.57142857,50,50,14.28571429,85.71428571
152004751,1,3,5,5,2,1,3,5,3,1,5,4,1,2,5,4,5,1,0,1,1,4,1,5,5,5,1,5,1,5,4,1,5,5,1,5,3,3,5,1,3,5,12/4/13 13:25,77.14285714,14.28571429,84.61538462,11.53846154,83.33333333,16.66666667,75,0,100,0,100,0,83.33333333,16.66666667,100,0,100,0,71.42857143,28.57142857
152009296,4,3,3,0,3,2,2,3,0,2,4,4,2,2,4,4,2,4,4,4,4,4,2,5,4,4,4,3,1,3,4,1,2,3,2,4,3,4,4,3,2,4,12/4/13 14:05,52.77777778,22.22222222,53.84615385,15.38461538,33.33333333,16.66666667,25,0,75,0,50,0,16.66666667,33.33333333,100,0,50,33.33333333,14.28571429,42.85714286
151008280,4,4,3,4,3,3,4,4,3,2,4,4,4,3,4,4,4,2,5,2,2,4,3,3,2,4,3,5,2,3,4,2,4,3,3,2,3,2,4,3,2,4,12/4/13 14:08,41.66666667,25,34.61538462,23.07692308,33.33333333,16.66666667,25,0,50,25,50,0,16.66666667,33.33333333,57.14285714,14.28571429,33.33333333,33.33333333,14.28571429,42.85714286
144009656,3,4,3,5,4,2,1,3,4,2,4,5,2,2,4,5,3,1,4,2,3,3,2,3,5,5,2,3,1,4,4,2,1,2,1,5,4,4,4,3,1,4,12/4/13 16:41,63.88888889,11.11111111,57.69230769,11.53846154,50,16.66666667,75,0,75,12.5,50,25,16.66666667,33.33333333,85.71428571,0,50,16.66666667,14.28571429,14.28571429
153005076,3,3,1,5,4,1,3,4,4,4,5,5,5,4,2,4,4,1,5,4,4,4,2,4,4,4,3,3,2,3,4,1,5,2,3,2,1,4,3,4,2,3,12/4/13 18:19,36.11111111,41.66666667,34.61538462,42.30769231,50,16.66666667,0,25,37.5,50,25,75,16.66666667,83.33333333,57.14285714,14.28571429,33.33333333,50,14.28571429,71.42857143
152009544,3,5,4,5,2,2,3,5,1,2,5,5,4,4,4,5,1,2,4,1,2,4,1,4,5,5,3,5,1,5,4,3,2,4,2,2,4,4,5,1,3,4,12/4/13 21:04,77.77777778,13.88888889,76.92307692,15.38461538,100,0,100,0,87.5,12.5,100,0,83.33333333,16.66666667,71.42857143,14.28571429,50,16.66666667,57.14285714,28.57142857
152001589,3,4,2,4,2,3,2,3,2,0,3,4,2,2,3,3,3,3,3,3,2,2,4,4,3,4,4,3,2,3,4,3,3,4,4,4,0,3,3,3,4,4,12/4/13 22:53,32.35294118,17.64705882,36,16,0,33.33333333,0,33.33333333,50,0,25,0,66.66666667,0,42.85714286,14.28571429,50,0,42.85714286,0
151008979,4,4,3,0,3,3,2,4,2,2,3,2,3,3,4,5,3,4,4,1,2,3,1,3,3,3,4,3,1,4,4,2,3,4,2,4,2,4,4,2,4,5,12/5/13 1:53,52.77777778,13.88888889,46.15384615,11.53846154,16.66666667,0,50,25,62.5,0,100,0,50,0,71.42857143,0,33.33333333,16.66666667,28.57142857,28.57142857
153004280,4,5,5,2,4,1,4,5,2,2,5,5,1,4,3,4,4,2,2,3,4,2,3,2,3,5,3,2,2,2,4,1,4,4,1,1,4,4,3,2,5,3,12/5/13 8:23,50,30.55555556,50,30.76923077,50,33.33333333,50,50,62.5,0,75,0,50,33.33333333,28.57142857,28.57142857,50,50,42.85714286,57.14285714
153002460,3,5,4,4,4,2,4,4,3,1,4,3,1,3,4,5,2,4,4,2,2,2,1,5,4,5,4,4,1,5,4,1,3,4,1,3,4,4,3,1,3,4,12/5/13 13:21,75,11.11111111,76.92307692,7.692307692,83.33333333,0,100,0,100,0,100,0,83.33333333,16.66666667,71.42857143,0,66.66666667,16.66666667,57.14285714,28.57142857
147002356,2,4,5,3,1,2,4,2,2,1,5,2,2,5,4,5,1,1,5,2,2,3,2,5,3,5,4,5,1,4,4,1,5,5,1,4,5,3,4,1,4,5,12/5/13 13:41,88.88888889,2.777777778,92.30769231,0,83.33333333,0,100,0,87.5,0,100,0,66.66666667,0,100,0,100,0,85.71428571,0
144001855,4,5,3,4,3,2,3,5,1,4,4,5,2,4,4,5,2,4,5,4,3,4,4,5,3,4,4,5,4,4,4,5,5,4,1,4,3,1,4,1,3,0,12/5/13 14:39,51.42857143,34.28571429,60,20,66.66666667,0,75,0,85.71428571,0,100,0,33.33333333,16.66666667,66.66666667,33.33333333,33.33333333,33.33333333,28.57142857,42.85714286
150009967,1,5,4,5,2,1,1,1,1,1,5,3,1,5,5,5,1,1,4,1,1,1,1,5,5,5,1,5,1,5,4,1,4,4,1,2,2,1,5,2,1,5,12/5/13 15:27,88.88888889,8.333333333,92.30769231,7.692307692,100,0,75,25,100,0,100,0,100,0,85.71428571,14.28571429,100,0,100,0
145008394,2,4,3,4,5,2,2,4,3,3,4,0,3,3,4,3,4,3,3,4,4,2,4,2,2,4,4,3,2,2,3,3,4,2,3,4,4,4,4,4,3,3,12/5/13 15:36,34.28571429,34.28571429,34.61538462,34.61538462,16.66666667,33.33333333,25,25,25,37.5,25,50,16.66666667,83.33333333,42.85714286,28.57142857,33.33333333,33.33333333,42.85714286,57.14285714
147000423,4,4,4,4,3,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,5,3,4,3,3,12/5/13 16:37,37.14285714,45.71428571,40,36,100,0,75,0,50,25,50,25,16.66666667,50,28.57142857,28.57142857,0,83.33333333,0,85.71428571
152000818,2,3,4,5,3,1,3,5,4,1,5,4,4,5,4,5,1,1,2,2,2,3,1,5,5,4,3,3,1,4,4,4,3,3,1,5,4,5,5,1,2,3,12/5/13 16:55,66.66666667,13.88888889,69.23076923,11.53846154,83.33333333,0,75,0,62.5,12.5,75,0,50,0,71.42857143,14.28571429,50,33.33333333,57.14285714,14.28571429
151000395,3,4,4,4,3,2,5,4,4,3,4,4,1,2,3,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,2,3,5,1,0,3,4,4,2,4,4,12/5/13 22:00,40,22.85714286,44,16,33.33333333,16.66666667,25,0,62.5,0,75,0,33.33333333,33.33333333,66.66666667,0,50,16.66666667,28.57142857,42.85714286
152008897,5,5,5,0,2,1,3,5,3,2,5,5,2,5,5,5,5,3,5,1,2,3,1,5,5,5,4,5,1,5,4,1,2,2,5,4,5,5,5,1,2,5,12/5/13 22:04,75,19.44444444,80.76923077,15.38461538,100,0,75,25,87.5,12.5,75,25,66.66666667,16.66666667,100,0,83.33333333,16.66666667,57.14285714,28.57142857
151006083,1,5,4,3,3,1,1,3,4,1,5,3,1,5,5,5,3,4,5,1,1,1,1,5,5,5,1,5,1,5,4,1,2,4,1,4,3,4,4,2,5,5,12/5/13 23:42,83.33333333,2.777777778,88.46153846,0,100,0,75,0,100,0,100,0,83.33333333,0,100,0,83.33333333,0,71.42857143,0
152009139,4,4,3,4,3,2,4,2,3,2,4,5,2,5,4,5,2,3,2,2,4,3,2,5,4,5,1,4,1,5,4,1,3,4,3,4,3,5,4,4,2,3,12/5/13 23:43,66.66666667,13.88888889,65.38461538,11.53846154,83.33333333,0,50,0,75,12.5,75,25,33.33333333,33.33333333,85.71428571,0,50,33.33333333,28.57142857,42.85714286
153001833,2,5,5,5,3,1,2,5,3,2,5,0,2,5,4,3,3,1,3,1,2,3,3,5,4,5,3,5,1,5,4,1,5,4,1,3,2,2,5,2,0,4,12/5/13 23:47,68.57142857,8.571428571,73.07692308,7.692307692,100,0,75,25,87.5,0,75,0,66.66666667,0,71.42857143,0,83.33333333,0,57.14285714,14.28571429
151000285,4,5,4,4,5,4,2,4,4,1,4,3,3,3,4,5,3,4,5,2,2,2,2,3,3,5,5,4,3,3,4,4,4,4,4,2,4,3,3,2,3,4,12/6/13 0:42,47.22222222,25,50,26.92307692,50,0,50,25,75,0,100,0,66.66666667,16.66666667,42.85714286,28.57142857,16.66666667,66.66666667,42.85714286,57.14285714
151003354,1,3,5,5,2,1,3,2,5,1,5,5,1,4,2,1,2,1,3,3,1,5,3,3,5,5,3,5,1,5,4,1,1,4,1,1,3,5,5,4,3,3,12/6/13 1:30,61.11111111,16.66666667,65.38461538,19.23076923,100,0,75,0,50,37.5,25,75,66.66666667,33.33333333,42.85714286,14.28571429,100,0,71.42857143,28.57142857
145004497,2,5,5,5,3,1,1,5,3,1,5,2,1,5,5,5,3,1,3,1,5,4,1,5,5,5,5,5,3,4,4,2,4,4,4,3,3,3,3,3,3,3,12/6/13 1:34,58.33333333,13.88888889,61.53846154,15.38461538,100,0,50,25,75,0,75,0,33.33333333,33.33333333,57.14285714,0,66.66666667,16.66666667,28.57142857,42.85714286
153002842,2,5,4,3,2,1,2,2,3,1,0,2,1,5,4,4,2,2,4,2,1,2,1,4,4,4,3,5,1,5,4,1,2,4,1,4,4,3,2,2,4,5,12/6/13 13:27,91.42857143,2.857142857,96,4,100,0,100,0,100,0,100,0,100,0,83.33333333,16.66666667,100,0,100,0
150006699,2,4,4,5,3,1,4,3,4,1,0,5,2,4,3,5,4,1,2,1,2,1,1,5,5,5,3,4,1,5,4,1,3,3,1,5,4,5,4,1,1,3,12/6/13 13:46,74.28571429,8.571428571,80,0,100,0,100,0,62.5,0,50,0,66.66666667,0,83.33333333,0,83.33333333,0,71.42857143,0
151008453,4,5,3,3,3,2,3,5,2,2,4,5,2,3,5,5,4,3,3,2,2,4,2,4,4,4,3,4,2,4,4,2,3,4,2,3,3,4,4,2,4,3,12/6/13 14:26,61.11111111,13.88888889,65.38461538,11.53846154,66.66666667,0,75,0,87.5,0,100,0,66.66666667,16.66666667,71.42857143,0,66.66666667,16.66666667,42.85714286,42.85714286
154000107,4,5,5,5,3,1,1,3,3,1,5,5,1,5,4,5,3,1,4,1,2,1,2,5,5,5,4,5,1,5,4,1,5,4,1,3,5,5,5,2,5,5,12/6/13 15:16,80.55555556,8.333333333,84.61538462,3.846153846,100,0,100,0,100,0,100,0,83.33333333,0,85.71428571,0,66.66666667,16.66666667,57.14285714,14.28571429
153002734,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,12/6/13 15:25,47.22222222,52.77777778,53.84615385,46.15384615,100,0,75,25,62.5,37.5,75,25,33.33333333,66.66666667,57.14285714,42.85714286,0,100,0,100
144005893,3,3,3,5,3,1,1,3,2,1,3,4,2,3,3,4,2,1,3,2,1,4,3,4,1,4,1,3,2,3,4,2,2,3,2,2,2,2,3,2,1,3,12/6/13 16:06,41.66666667,16.66666667,34.61538462,15.38461538,0,16.66666667,25,25,50,12.5,50,0,33.33333333,33.33333333,28.57142857,14.28571429,66.66666667,0,42.85714286,14.28571429
