ID,qcc1,qcc2,qcc3,qcc4,qcc5,qcc6,qcc7,qcc8,qcc9,qcc10,qcc11,qcc12,qcc13,qcc14,qcc15,qcc16,qcc17,qcc18,qcc19,qcc20,qcc21,qcc22,qcc23,qcc24,qcc25,qcc26,qcc27,qcc28,qcc29,qcc30,qcc31,qcc32,qcc33,qcc34,qcc35,qcc36,qcc37,qcc38,qcc39,qcc40,qcc41,qcc42,qcc43,qcc44,qcc45,qcc46,qcc47,qcc48,qcc49,qcc50,qccTIME
152002462,4,2,2,1,2,5,4,3,4,3,2,5,4,5,2,2,2,2,3,3,4,1,2,5,4,4,4,1,2,3,4,2,4,2,3,2,4,4,3,1,5,1,4,3,4,2,5,3,2,5,5/3/2014 12:26:51 PM
151008065,3,5,4,4,4,3,1,2,4,3,4,4,3,5,2,4,5,3,4,2,2,5,4,4,3,2,5,4,4,4,4,2,4,4,1,4,3,1,3,3,1,4,3,5,4,4,3,1,4,2,5/3/2014 12:29:50 PM
150009727,4,5,4,5,3,2,2,4,4,5,5,2,5,2,3,4,5,4,4,3,2,3,2,2,3,3,4,5,5,5,4,3,5,5,2,4,1,2,5,4,2,4,4,5,2,5,2,1,4,1,5/3/2014 12:29:52 PM
152005208,5,5,5,4,5,5,4,1,5,5,5,4,4,5,5,4,5,5,4,4,4,4,5,2,3,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,5,4,3,5,4,5,5/3/2014 12:30:22 PM
149004801,3,4,3,4,5,3,2,3,5,5,2,2,4,1,1,2,2,4,5,2,2,1,1,3,3,4,5,3,2,5,4,2,5,4,1,5,5,3,5,5,2,5,2,3,5,5,1,5,5,2,5/3/2014 12:41:50 PM
141006572,3,4,4,4,4,2,2,2,2,2,3,2,4,5,2,4,4,4,4,2,2,3,2,2,3,2,4,3,4,4,4,3,4,3,2,4,2,1,4,4,2,3,3,4,4,4,2,1,4,2,5/3/2014 12:42:30 PM
152004533,2,4,4,4,4,1,2,2,3,4,4,2,4,0,2,4,3,2,4,2,2,2,2,2,4,2,5,4,4,4,4,1,2,3,3,3,2,4,3,3,3,3,0,0,0,0,0,0,0,0,5/3/2014 12:44:02 PM
138009582,4,2,5,3,5,2,3,4,3,1,2,2,5,2,5,1,5,5,4,2,2,5,1,4,2,1,5,1,2,5,4,1,4,4,1,4,1,1,1,2,1,1,4,2,5,5,1,1,5,4,5/3/2014 12:46:11 PM
151000502,4,4,5,5,5,1,1,2,2,5,5,2,5,2,2,4,4,2,2,3,2,5,3,3,3,3,4,4,3,5,4,4,5,0,4,4,3,2,5,3,2,4,4,2,4,4,2,1,3,1,5/3/2014 12:46:14 PM
153000069,5,3,3,4,3,2,2,3,5,5,3,4,4,3,5,4,4,3,4,4,2,4,2,2,3,1,3,4,2,5,4,2,4,4,2,4,2,1,4,4,2,2,1,3,4,3,1,1,3,2,5/3/2014 12:47:30 PM
152000909,5,1,5,1,1,5,5,3,5,1,1,5,1,5,4,1,1,1,1,1,5,4,1,5,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,2,0,1,1,1,5,1,5,5,1,5,5/3/2014 12:50:33 PM
150009198,4,2,4,3,5,4,3,3,2,4,3,3,5,4,3,2,2,4,2,2,3,2,1,2,4,2,5,1,2,4,4,1,4,1,2,4,2,2,2,2,2,1,2,1,1,2,3,3,3,3,5/3/2014 12:51:41 PM
152001044,5,1,5,4,5,5,1,5,5,1,1,3,2,5,1,1,4,5,5,5,5,1,1,5,2,5,4,1,2,4,4,1,5,5,1,3,5,1,3,4,2,1,3,4,3,4,2,3,4,4,5/3/2014 1:12:00 PM
154002181,4,4,4,5,3,2,2,2,4,4,3,2,3,3,2,3,3,4,4,2,2,4,2,2,2,2,3,2,3,4,4,3,4,4,2,4,2,2,4,4,2,3,4,3,2,4,2,2,4,3,5/3/2014 1:12:58 PM
151005940,3,4,4,5,5,3,2,2,4,4,4,1,3,4,2,3,4,4,4,5,2,5,4,1,4,2,2,3,3,4,4,3,4,5,2,3,2,4,3,4,1,4,4,3,2,4,1,1,4,3,5/3/2014 1:15:03 PM
150002544,3,4,4,3,4,3,2,3,4,4,4,2,4,4,3,3,4,4,4,4,3,4,2,2,3,3,4,4,3,4,4,3,4,3,3,4,4,2,2,4,1,2,4,4,4,3,1,1,3,2,5/3/2014 1:37:49 PM
147000629,4,4,4,2,3,4,2,2,1,2,3,4,3,4,4,2,3,4,4,3,3,2,1,2,4,2,5,2,2,4,4,1,4,3,1,3,3,2,2,2,3,2,2,4,4,2,4,2,4,4,5/3/2014 1:46:51 PM
152004862,4,5,5,5,4,4,2,3,3,5,4,2,4,4,2,5,5,5,4,3,1,5,2,2,4,1,5,4,5,4,4,2,4,5,1,5,1,2,4,4,1,2,4,4,3,4,2,2,4,1,5/3/2014 1:52:14 PM
151003947,4,5,5,4,4,3,2,3,2,3,4,5,4,3,2,4,4,5,3,4,2,4,3,3,3,1,4,4,3,3,4,1,4,4,2,3,3,2,3,4,3,0,2,4,4,5,3,2,4,2,5/3/2014 1:57:51 PM
150009586,4,3,3,3,3,3,2,4,3,4,3,2,4,3,2,3,3,4,3,2,3,2,4,3,2,2,4,3,3,4,4,2,4,3,2,3,2,2,3,3,2,2,2,3,3,2,3,3,3,2,5/3/2014 1:58:09 PM
151007925,4,5,5,3,4,4,5,4,5,4,5,0,5,4,4,5,5,5,4,5,4,4,4,0,4,4,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5/3/2014 2:19:22 PM
150006715,4,4,3,0,5,4,2,2,2,3,2,5,4,4,2,2,3,2,2,3,4,2,3,4,2,2,2,2,3,4,4,2,3,3,0,4,4,5,4,2,3,2,2,4,4,2,2,2,4,4,5/3/2014 2:22:47 PM
144001517,5,4,4,3,4,3,2,3,2,5,3,3,3,1,3,3,4,4,5,3,2,5,3,3,4,4,3,4,2,5,4,3,3,4,3,4,4,4,3,4,3,3,3,2,4,4,2,3,4,2,5/3/2014 2:28:23 PM
150003563,4,3,5,4,4,2,3,2,3,5,4,4,5,3,4,4,4,4,5,4,4,3,3,5,3,4,5,2,4,4,4,2,4,4,3,4,4,2,4,4,3,5,4,4,3,4,2,4,4,3,5/3/2014 2:44:06 PM
150005248,1,3,4,4,4,2,1,2,2,4,3,2,5,4,1,4,4,5,4,1,1,4,2,2,1,1,3,5,4,4,4,3,4,3,1,4,1,2,4,5,3,4,3,3,4,5,1,1,5,1,5/3/2014 2:46:29 PM
151000452,3,3,4,3,4,3,2,2,2,3,3,3,3,3,2,3,3,3,5,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5/3/2014 2:54:40 PM
144002603,3,2,4,2,4,4,3,3,3,4,2,4,4,2,2,2,2,2,4,2,2,2,2,3,2,2,4,2,2,4,4,4,4,2,2,2,2,2,2,2,4,2,2,4,4,4,2,2,4,3,5/3/2014 2:56:55 PM
152000628,4,4,2,2,4,2,3,2,3,3,3,3,3,3,2,2,3,2,4,3,3,3,2,3,2,3,3,2,2,4,4,1,4,3,2,3,3,2,2,3,4,2,2,3,2,2,2,2,3,2,5/3/2014 3:02:27 PM
150009288,2,4,4,3,4,2,2,2,4,5,4,2,3,3,2,4,4,4,4,2,2,4,2,2,2,2,3,4,4,4,4,3,5,4,2,4,2,3,2,4,2,4,3,4,4,4,2,2,4,2,5/3/2014 3:02:33 PM
150008145,4,4,3,4,2,4,3,4,4,5,1,2,2,4,2,4,2,4,4,2,2,3,4,2,4,0,4,3,1,0,4,4,2,3,1,3,4,1,4,4,2,4,2,1,5,1,3,3,4,4,5/3/2014 3:03:04 PM
150002545,5,4,5,3,2,4,2,4,3,3,2,3,4,5,3,3,4,4,3,3,2,5,3,5,4,2,4,1,2,2,4,1,4,2,2,4,3,2,4,3,3,2,1,3,4,4,3,2,4,3,5/3/2014 3:05:28 PM
