"","N","J","Burn","A1","A1_est","A1_bias","A1_RMSE","A1_VAR_LMI_Iter","A1_ERR_LMI_Iter","A1_sd_ERR_LMI_Iter","A1_VAR_Simple_2PL","A1_ERR_Simple_2PL","A1_sd_ERR_Simple_2PL","A1_VAR_Simple_2PNO","A1_ERR_Simple_2PNO","A1_sd_ERR_Simple_2PNO","A1_ERR_MCMC_Burn","A1_sd_ERR_MCMC_Burn","A1_ERR_MCMC_Ann","A1_sd_ERR_MCMC_Ann","A1_ERR_CLT_Burn","A1_sd_ERR_CLT_Burn","A1_ERR_CLT_Ann","A1_sd_ERR_CLT_Ann","A1_ERR_MCMC_Emp","A1_sd_ERR_MCMC_Emp","A1_ERR_CLT_Emp","A1_sd_ERR_CLT_Emp","A1_VAR_LMI_Iter_Emp_2PL","A1_ERR_LMI_Iter_Emp_2PL","A1_sd_ERR_LMI_Iter_Emp_2PL","A1_VAR_LMI_Iter_Emp_2PNO","A1_ERR_LMI_Iter_Emp_2PNO","A1_sd_ERR_LMI_Iter_Emp_2PNO","B","B_est","B_bias","B_RMSE","B_VAR_LMI_Iter","B_ERR_LMI_Iter","B_sd_ERR_LMI_Iter","B_VAR_Simple_2PL","B_ERR_Simple_2PL","B_sd_ERR_Simple_2PL","B_VAR_Simple_2PNO","B_ERR_Simple_2PNO","B_sd_ERR_Simple_2PNO","B_ERR_MCMC_Burn","B_sd_ERR_MCMC_Burn","B_ERR_MCMC_Ann","B_sd_ERR_MCMC_Ann","B_ERR_CLT_Burn","B_sd_ERR_CLT_Burn","B_ERR_CLT_Ann","B_sd_ERR_CLT_Ann","B_ERR_MCMC_Emp","B_sd_ERR_MCMC_Emp","B_ERR_CLT_Emp","B_sd_ERR_CLT_Emp","B_VAR_LMI_Iter_Emp_2PL","B_ERR_LMI_Iter_Emp_2PL","B_sd_ERR_LMI_Iter_Emp_2PL","B_VAR_LMI_Iter_Emp_2PNO","B_ERR_LMI_Iter_Emp_2PNO","B_sd_ERR_LMI_Iter_Emp_2PNO"
"96",5000,100,800,0.771193695697014,0.771158568546324,-0.0000351271506898732,0.0292154013462895,0.00048085032635219,0.0219282996685149,0.00222331661699951,0.000469646922819217,0.0216713387408166,0.000283480643171101,0.00056986918200414,0.0238719329339737,0.000160829844518251,0.0160131659546664,0.00269345244939347,0.0162144400554146,0.00230505163854974,0.0170142070144835,0.0050084113456668,0.0176469642978659,0.00343624305330436,0.0181924085071796,0.00263805867302958,0.0161441470577393,0.000911709805233347,0.00130438315634728,0.0361162450477245,0.00516151707686637,0.000982428988399554,0.0313437232695727,0.00516873550627384,-0.561237823345804,-0.559681184602329,0.00155663874347489,0.0253101174525107,0.000846871637596685,0.029101059045964,0.00701490517181378,0.000692196182009362,0.0263096214721794,0.000542967200999493,0.000719925402434761,0.0268314256504339,0.000349880059764657,0.0123509845606673,0.00150117605578486,0.012608185194993,0.00120443477086711,0.014125251589349,0.0039585430661547,0.0141500539326588,0.00355362474426939,0.0141158672355585,0.00200227769992781,0.0124752248306185,0.000499485457187297,0.000767083373899203,0.0276962700358587,0.0021427909163837,0.000711708559654193,0.02667786647493,0.0008996156887046
"97",5000,100,800,0.473109746725439,0.472153509107287,-0.000956237618152389,0.0278016406703812,0.000567725925559491,0.0238269999278023,0.00276360466100031,0.000567410139313817,0.0238203723588406,0.00038713684404146,0.000594974014193014,0.0243920891723734,0.000201097142854957,0.0142719076863829,0.00227211599390003,0.0147160794669944,0.00197481855225121,0.0146766603020303,0.00473712258532141,0.0160741727085926,0.00422064591216135,0.0155869098661964,0.00189468388560492,0.0146176913799098,0.000716481501508356,0.000985666425055158,0.0313953248916962,0.00249583805319377,0.00083020230763313,0.0288132314680796,0.00122213245986704,-0.911415797665638,-0.914457350606067,-0.00304155294042896,0.0227987452675152,0.000621035921457457,0.0249205923175485,0.00298087651665455,0.000591582951614411,0.0243224783197439,0.000404804011758763,0.000657907007855758,0.0256496980071064,0.000325993140364954,0.0134494808030422,0.00170412651562199,0.0132361089482436,0.00154092982711894,0.0151552194672908,0.00318969476686345,0.0145656445002194,0.00314230541968733,0.0147310230188966,0.00155659357526695,0.0132327608751737,0.00065867077571258,0.000906447009921231,0.0301072584258552,0.00253383608557604,0.000779263746890967,0.0279152959305641,0.00148221306467037
"98",5000,100,800,0.608647160823616,0.604901806589849,-0.00374535423376732,0.0259177795507691,0.000469405914724108,0.0216657775010293,0.00231167552834612,0.000472624788884563,0.0217399353468349,0.000274507142840566,0.000562079931139229,0.0237082249681251,0.000154410241404954,0.0145844215534823,0.00183869128186751,0.014408444234943,0.00248466052935059,0.0158100183307041,0.00394409600242533,0.0144806751697423,0.00400165674777748,0.016143054727478,0.00203828153756526,0.0148085157107293,0.000861867506725407,0.00108639915556286,0.0329605697093188,0.00613649509851191,0.000845943048514525,0.0290851001118189,0.00267797549982088,-0.67101811894026,-0.671228020970707,-0.000209902030446463,0.0204266527226058,0.00066598170900797,0.0258066214179224,0.00438221642073115,0.000584146854795767,0.024169130203542,0.00044960410084213,0.000657146662110622,0.025634871993256,0.000322085932798653,0.0127456712437879,0.00145334980165819,0.0124216723985394,0.00125246477021202,0.0145086262755737,0.00371505436376062,0.0140323594621621,0.00301760779080203,0.0134031693301043,0.00157242858425483,0.0123061910919075,0.000522964395723234,0.000751139137374772,0.0274069176919765,0.00437795473399729,0.000704170257899406,0.0265362065468937,0.00183153296167144
"99",5000,100,800,0.852043024297245,0.838919698423977,-0.0131233258732678,0.0282180801004251,0.000396827796604967,0.019920537056138,0.00310660379682441,0.000383701119939295,0.0195882903781646,0.000166764844217999,0.000535531474950815,0.0231415529934967,0.000115498223879409,0.0169610480928803,0.00257222177694064,0.016132408438935,0.00245646471772471,0.0187391388941197,0.00529917102443047,0.0164329808372744,0.00486693783217007,0.0181786292173832,0.00271294145186781,0.016246551397777,0.000987491519737373,0.00124774352989434,0.0353234133386673,0.00594822328256173,0.000956633062266124,0.030929485321714,0.00228430639685297,0.0910030713023093,0.0970433849716544,0.00604031366934514,0.0211932697640747,0.000894801254634365,0.0299132287564276,0.00672421600505843,0.00070180993761846,0.0264916956350185,0.000549614485271662,0.000717793241041134,0.0267916636482532,0.00033957433320779,0.0112599371547782,0.00143361381680895,0.0114603961515036,0.00125553948091171,0.0119040163225607,0.00267838630387473,0.0119913389754816,0.00197889466823861,0.0118444200076054,0.00105134197559685,0.0113272742896117,0.000454633446393635,0.000686484573952945,0.0262008506341482,0.00494231808752805,0.000651733654281473,0.0255290746851795,0.000679153893131659
"100",5000,100,800,0.994462005437475,0.997433912276842,0.00297190683936632,0.0463139750340352,0.0011457668591019,0.0338491781156042,0.00351048242644086,0.00109063170998383,0.0330247136245544,0.000978190942822945,0.00085675270289434,0.0292703382777572,0.000577191230067049,0.0219986891026643,0.00319870886973296,0.0222364192148702,0.00400420358399575,0.0300868958158236,0.00971124836615513,0.0298345315183461,0.00943003713561788,0.0318448261715814,0.00534538590285144,0.0227509006896725,0.00162588978675216,0.00324700973732715,0.0569825388810217,0.0179918001454354,0.00175195553314496,0.0418563678924123,0.00960838179420002,-1.23043759859924,-1.22776323269197,0.00267436590726278,0.0361089963662535,0.0014526406234711,0.03811352284257,0.00750646327696096,0.00120521934906243,0.0347162692273008,0.00114026529600365,0.00105575920297927,0.0324924483992707,0.000846783636434348,0.0198040172441197,0.00317633105115086,0.0196567458801999,0.00322112557827526,0.0305189907039749,0.0100952676623207,0.0303964639886765,0.0102888487823769,0.0318666238924388,0.00638893326952484,0.020265011111843,0.00110829362127302,0.00229286808281435,0.0478839021260209,0.0107558509005712,0.00150343327228311,0.0387741314832855,0.00662594651381362
